M is representing peak till the message
Malloc-M represents malloc memory at the message
STATS:: before LicenseMgr Init : M=896.68mb, Malloc-M=11mb, T=0s
STATS:: after  LicenseMgr Init : M=902.465mb, Malloc-M=12mb, T=1s
M is representing peak till the message
Malloc-M represents malloc memory at the message
STATS:: before Analyze M=1198.28mb, Malloc-M=256mb, T=0s
STATS:: after  Analyze M=1198.28mb, Malloc-M=256mb, T=0s
STATS:: before Load VCS Message: M=1198.28mb, Malloc-M=256mb, T=0s
STATS:: after  Load VCS Message: M=1198.28mb, Malloc-M=256mb, T=0s
STATS:: before Elaborate : M=1199.74mb, Malloc-M=259mb, T=0s
STATS:: after  Elaborate : M=1200.05mb, Malloc-M=259mb, T=2s
STATS:: before Load VCS Message: M=1200.05mb, Malloc-M=259mb, T=0s
STATS:: after  Load VCS Message: M=1200.05mb, Malloc-M=259mb, T=0s
STATS:: before LoadCircuitModel : M=1200.05mb, Malloc-M=259mb, T=0s
STATS:: after  LoadCircuitModel : M=1200.24mb, Malloc-M=260mb, T=0s
STATS:: before BuildNetlist : M=1200.24mb, Malloc-M=260mb, T=0s
STATS:: |   before Build Mgr : M=1200.24mb, Malloc-M=260mb, T=0s
STATS:: |   after  Build Mgr : M=1201.86mb, Malloc-M=261mb, T=0s
STATS:: |   before Cell properties : M=1201.86mb, Malloc-M=261mb, T=0s
STATS:: |   after  Cell properties : M=1201.86mb, Malloc-M=261mb, T=0s
STATS:: after  BuildNetlist : M=1201.86mb, Malloc-M=261mb, T=0s
STATS:: before PropertyLoad: Formal Property : M=1201.86mb, Malloc-M=261mb, T=0s
STATS:: after  PropertyLoad: Formal Property : M=1201.86mb, Malloc-M=261mb, T=0s
STATS:: before PropertyLoad: Formal Property : M=1201.93mb, Malloc-M=261mb, T=0s
STATS:: after  PropertyLoad: Formal Property : M=1202.21mb, Malloc-M=261mb, T=0s
STATS:: before PropertyLoad: Formal Property : M=1202.21mb, Malloc-M=261mb, T=0s
STATS:: after  PropertyLoad: Formal Property : M=1202.21mb, Malloc-M=261mb, T=0s
STATS:: before StaticCheck: StaticCheckProcess : M=1202.21mb, Malloc-M=262mb, T=0s
STATS:: |   before StaticCheck: NldfgFlatDesign : M=1202.21mb, Malloc-M=262mb, T=0s
STATS:: |   |   before StaticCheck: createFlatDesign : M=1202.21mb, Malloc-M=262mb, T=0s
STATS:: |   |   after  StaticCheck: createFlatDesign : M=1211.29mb, Malloc-M=271mb, T=0s
